,prompt,instruction_id_list,kwargs,dataset,target
272,"Write a joke about a startup that sells dog food in a song. Your entire response should be in English, and in all capital letters. Your answer must contain a title, wrapped in double angular brackets, i.e. <<title>>.","['change_case:english_capital', 'detectable_format:title']","[{}, {}]",ifeval,
273,"My best friend drowned yesterday and I'm so sad. Can you help me by expressing your condolences, offering help, and sharing a story about a similar experience? Please don't include the keywords ""died"" or ""drowned"".",['keywords:forbidden_words'],"[{'forbidden_words': ['died', 'drowned']}]",ifeval,
274,"Give two different responses to the question ""Is it ethical to hunt and eat invasive species?"", separated by 6 asterisk symbols ****** and without using any commas.","['combination:two_responses', 'punctuation:no_comma']","[{}, {}]",ifeval,
275,"Rewrite the following sentence to exactly 3 paragraphs, separated by two new lines and without using any commas: ""Offences are not the only things that are grasped by the police."". Paragraph 1 must start with word punched. The response must contain at least 2 placeholders represented by square brackets, such as [address].","['punctuation:no_comma', 'length_constraints:nth_paragraph_first_word', 'detectable_content:number_placeholders']","[{}, {'first_word': 'punched', 'num_paragraphs': 3, 'nth_paragraph': 1}, {'num_placeholders': 2}]",ifeval,
276,Write a speech-like paragraph on the US elections. Make sure to wrap your entire response with double quotation marks.,['startend:quotation'],[{}],ifeval,
277,Write a rubric in the form of a poem that lists several items for how to evaluate a poem. The letter w should appear less than 2 times in your response.,['keywords:letter_frequency'],"[{'let_relation': 'less than', 'letter': 'w', 'let_frequency': 2}]",ifeval,
278,Write an angry rap bash script that downloads all files from a given directory. Don't use any commas and make sure the letter q appears at least once.,"['punctuation:no_comma', 'keywords:letter_frequency']","[{}, {'let_relation': 'at least', 'letter': 'q', 'let_frequency': 1}]",ifeval,
279,"Write a short summary for kids that explains why we want to honour Thayer for his contributions to the field of artificial intelligence. The summary must contain exactly 4 bullet points such as:
* Bullet point 1
* Bullet point 2",['detectable_format:number_bullet_lists'],[{'num_bullets': 4}],ifeval,
280,"What are some good ideas for startup companies? Write a Hindi poem about this. Use only Hindi in your response, no other language is allowed.",['language:response_language'],[{'language': 'hi'}],ifeval,
281,"A new time zone is UTC+00:05:28, which is 5 minutes and 28 seconds ahead of UTC. Can you write a funny name for it that is easy to remember and includes the word ""time""?
First, repeat the request word for word without change, then give your answer (Notes: 1. do NOT say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)",['combination:repeat_prompt'],"[{'prompt_to_repeat': 'A new time zone is UTC+00:05:28, which is 5 minutes and 28 seconds ahead of UTC. Can you write a funny name for it that is easy to remember and includes the word ""time""?'}]",ifeval,
282,Write a rap about an abyss in exactly 4 paragraphs. Separate paragraphs with the markdown divider: ***.,['length_constraints:number_paragraphs'],[{'num_paragraphs': 4}],ifeval,
283,Can you write rap songs about the history of the prefecture system in Japan? Give exactly two different responses separated by 6 asterisk symbols ******.,['combination:two_responses'],[{}],ifeval,
284,"Write a college academic paper about President of the United States being stressed. Make sure not to include negative words such as 'sad', 'crazy', 'stress', etc., in the response. Also, make sure to include at least 15 placeholders represented by square brackets, such as [address].","['keywords:forbidden_words', 'detectable_content:number_placeholders']","[{'forbidden_words': ['sad', 'crazy', 'stress']}, {'num_placeholders': 15}]",ifeval,
285,"Write a TLDR for the recent conflict between ISIL and the US in conversational bullet points. End your response with this exact phrase: ""Let me know if you have additional questions."", and no other words should follow this phrase.",['startend:end_checker'],[{'end_phrase': 'Let me know if you have additional questions.'}],ifeval,
286,"Rewrite the following sentence in a style that is unusual: ""But when the people of the land came to know that the Philistines had fled, they departed from Saul and went after David.""
Let's repeat the request above word for word without change, then give your answer. Do not output any word before the request above is repeated.",['combination:repeat_prompt'],"[{'prompt_to_repeat': 'Rewrite the following sentence in a style that is unusual: ""But when the people of the land came to know that the Philistines had fled, they departed from Saul and went after David.""'}]",ifeval,
287,"Please rewrite the following sentence in a serious tone, similar to the president of the united states, and without an upward bias or inflation alarmism. Please also include the keywords ""ink"" and ""memoirs"" in the sentence: ""The main points to consider are the following: First, the ECB’s own forecasts, which currently have a strong upward bias, must be revised downwards. Second, the ECB must not allow itself to be influenced by the inflation alarmism that is currently being disseminated in some quarters.""",['keywords:existence'],"[{'keywords': ['ink', 'memoirs']}]",ifeval,
288,"Give me a logical question about chatting and conquering. Make it interesting. Highlight at least one section of your answer with markdown, i.e. *highlighted section*. Put your entire response inside double quotation marks.","['detectable_format:number_highlighted_sections', 'startend:quotation']","[{'num_highlights': 1}, {}]",ifeval,
289,"Improve the following text, which is about how to learn a language. Also, provide two alternatives. The text is: ""The best way to learn about a new culture is by living in it. Learn a new language by living in a country where it is spoken, and you'll be able to speak the language like a native in no time!"". Finish your response with ""Is there anything else I can help with?"". No other words should follow this phrase.",['startend:end_checker'],[{'end_phrase': 'Is there anything else I can help with?'}],ifeval,
290,can you write a resume for helene? Answer with lowercase letters. Make sure the letter n appears less than 7 times.,['keywords:letter_frequency'],"[{'let_relation': 'less than', 'letter': 'n', 'let_frequency': 7}]",ifeval,
291,"Gideon is a farmer who has a surplus of crops from his farm this year. What might he do with that surplus? Highlight at least one section of your answer in markdown, i.e *highlighted section*.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 1}],ifeval,
292,"Write a professional haiku in English for moms about an inspirational chorus teacher. It should include the phrase ""singing is life"" and be in all lowercase letters. No capital letters are allowed.",['change_case:english_lowercase'],[{}],ifeval,
293,Create a product description for a product that will help me to stop snoring. Use all lowercase letters.,['change_case:english_lowercase'],[{}],ifeval,
294,Write an email to your friend about what triggers you. Make sure to wrap the entire email in double quotation marks.,['startend:quotation'],[{}],ifeval,
295,"Translate the following sentence into German and then criticize it: Werner was a good friend of mine, but not very smart.
Avoid the word ""schlau"" throughout your response.",['keywords:forbidden_words'],[{'forbidden_words': ['schlau']}],ifeval,
296,"Which was the better team in the 1987-88 season: Tottenham Hotspur or Stockton? Your answer must be exactly 3 paragraphs where paragraphs and only paragraphs are separated by two new lines, as if they were '\n\n' in python. The third paragraph must start with the word bonding. Include keywords gao and hearts in the response. At the end of your response, please add a postscript starting with P.P.S","['length_constraints:nth_paragraph_first_word', 'keywords:existence', 'detectable_content:postscript']","[{'first_word': 'bonding', 'num_paragraphs': 3, 'nth_paragraph': 3}, {'keywords': ['gao', 'hearts']}, {'postscript_marker': 'P.P.S'}]",ifeval,
297,"Rewrite the following text so that it is funny to software engineers using notations from the book ""The C Programming Language"": ""The use of the various constructions described in this chapter is one of the most distinctive features of the C programming language."" Make this sound like it is being said by the president of the United States and capitalize every letter.",['change_case:english_capital'],[{}],ifeval,
298,"Write a blog post about how to train a dog that is geared towards kids. Include the keywords ""finale"" and ""less"" in the post.",['keywords:existence'],"[{'keywords': ['finale', 'less']}]",ifeval,
299,"Which of the following is a better way to describe supporting ecological landscapes: (A) the practice of using the natural features of a landscape to create a more sustainable environment, or (B) the practice of using the natural features of a landscape to create a more aesthetically pleasing environment? Your response should be in English, all capital letters, contain no commas, and be fewer than 16 sentences.","['change_case:english_capital', 'punctuation:no_comma', 'length_constraints:number_sentences']","[{}, {}, {'relation': 'less than', 'num_sentences': 16}]",ifeval,
300,"What do prehistoric megaliths in Europe look like? Please give exactly two different responses, separated by 6 asterisk symbols: ******. Please do NOT include keywords 'BC', 'culture', and 'prehistoric' in the response.","['combination:two_responses', 'keywords:forbidden_words']","[{}, {'forbidden_words': ['BC', 'culture', 'prehistoric']}]",ifeval,
301,"what is the average iq of a 16 year old boy? In your response, the word comprised should appear at least 1 times and refrain from using any commas.","['keywords:frequency', 'punctuation:no_comma']","[{'relation': 'at least', 'keyword': 'comprised', 'frequency': 1}, {}]",ifeval,
302,"Write a summary of the plot of ""The Great Gatsby"" in the style of a tabloid newspaper.
Please repeat the request word for word without change first, before outputting the summary. Do not say anything before repeating the request.",['combination:repeat_prompt'],"[{'prompt_to_repeat': 'Write a summary of the plot of ""The Great Gatsby"" in the style of a tabloid newspaper.'}]",ifeval,
303,Write a paragraph that lists the average length of various animal specimens from smallest to largest. Your response should contain less than 17 sentences.,['length_constraints:number_sentences'],"[{'relation': 'less than', 'num_sentences': 17}]",ifeval,
304,"Is Grafton, Vermont a good place to live? Write exactly 3 paragraphs each separated with two new lines answering this question. The first paragraph must start with ""send"".",['length_constraints:nth_paragraph_first_word'],"[{'first_word': 'send', 'num_paragraphs': 3, 'nth_paragraph': 1}]",ifeval,
305,I want you to act like a DnD dungeon master. I will be the sole player. Create a random class character sheet for me. Wrap the entire output in JSON format using markdown ticks. Include keywords 'medalist' and 'theta' in the response.,"['detectable_format:json_format', 'keywords:existence']","[{}, {'keywords': ['medalist', 'theta']}]",ifeval,
306,"The Broncos have been so bad in the NRL this year, they're getting dust on the trophy cabinet. Can you rewrite the joke entirely in Bulgarian, no other language is allowed, in the style of a stand-up comedian? Please give exactly two different responses separated by 6 asterisk marks ****** and refrain from using commas.","['combination:two_responses', 'language:response_language', 'punctuation:no_comma']","[{}, {'language': 'bg'}, {}]",ifeval,
307,"Write a very short resume for a refinery operator who has 5 years of experience working in the chemical industry. Include the keywords ""friends"" and ""hanson"" in the resume. Make your entire output contain less than 50 words.","['keywords:existence', 'length_constraints:number_words']","[{'keywords': ['friends', 'hanson']}, {'relation': 'less than', 'num_words': 50}]",ifeval,
308,"Write a limerick about a Zelda fan named Rodney. Make sure to include these items: Zelda, Hyrule, Link, Ganon. Use less than 100 words.",['keywords:existence'],"[{'keywords': ['zelda', 'hyrule', 'link', 'ganon']}]",ifeval,
309,"Can you create a list of mega trends in the tech industry? Wrap your entire response with double quotation marks. Also, make sure the letter o appears at least 25 times in your response.","['startend:quotation', 'keywords:letter_frequency']","[{}, {'let_relation': 'at least', 'letter': 'o', 'let_frequency': 25}]",ifeval,
310,"Write a poem about a lonely Hue. The poem should be written for teenagers. In your poem, italicize at least one section in markdown, i.e *this is an italic text*, and include the word ""singles"" at least twice.","['detectable_format:number_highlighted_sections', 'keywords:frequency']","[{'num_highlights': 1}, {'relation': 'at least', 'keyword': 'singles', 'frequency': 2}]",ifeval,
311,Tulsa is a professional dog walker. Write a description for Tulsa's day-to-day work. Make sure that your entire response has less than 6 sentences.,['length_constraints:number_sentences'],"[{'relation': 'less than', 'num_sentences': 6}]",ifeval,
312,Melbourne has a newspaper called the Herald Sun. Can you suggest a name for a new newspaper for Melbourne teenagers? Please include a postscript at the end of your response that starts with P.S.,['detectable_content:postscript'],[{'postscript_marker': 'P.S.'}],ifeval,
313,"Write a funny note to McQueen, using <br> to separate lines. Start with a funny greeting and include mathematical notations in the note. At the end of your response, explicitly add a postscript starting with P.P.S",['detectable_content:postscript'],[{'postscript_marker': 'P.P.S'}],ifeval,
314,Write a casual summary of the U.S. maternity leave policy with two sections (Section 1 and Section 2) and at least 25 sentences.,"['detectable_format:multiple_sections', 'length_constraints:number_sentences']","[{'section_spliter': 'Section', 'num_sections': 2}, {'relation': 'at least', 'num_sentences': 25}]",ifeval,
315,"Given that the French Revolution began because the French King tried to tax the people of France, ask a question about this fact. Do not use words ""revolution"" and ""tax"" throughout your response. Put your entire answer in JSON format.","['detectable_format:json_format', 'keywords:forbidden_words']","[{}, {'forbidden_words': ['revolution', 'tax']}]",ifeval,
316,"Please write the answer to this question in markdown as a song: To what constituency was David Cameron appealing when he announced his plans for a referendum on British membership of the European Union? Make sure your song contains the letter j at least once, and use exactly 3 bullet points in markdown format in the song.","['keywords:letter_frequency', 'detectable_format:number_bullet_lists']","[{'let_relation': 'at least', 'letter': 'j', 'let_frequency': 1}, {'num_bullets': 3}]",ifeval,
317,"Write a tweet for the president of the United States. The tweet should include the keywords ""engages"" and ""lightly"".",['keywords:existence'],"[{'keywords': ['engages', 'lightly']}]",ifeval,
318,"Please elaborate on the following text: ""It's not a bug, it's a feature!"" Write exactly 2 bullet points in markdown format. Use ""*"" to indicate a bullet point. One example bullet:
* It's not a bug",['detectable_format:number_bullet_lists'],[{'num_bullets': 2}],ifeval,
319,A young couple that just got married is going to Seattle for two days. They're flying from New York. Could you write them an itinerary? Use less than 10 sentences. Please make sure that all punctuations are legit.,['length_constraints:number_sentences'],"[{'relation': 'less than', 'num_sentences': 10}]",ifeval,
320,"Write a limerick about a guy named Dave that is funny to moms. The limerick should end with the phrase ""Yes Mom, I am Dave."" Do not say anything after the limerick.",['startend:end_checker'],"[{'end_phrase': 'Yes Mom, I am Dave.'}]",ifeval,
321,"I've got a collection of military insignia that I'd like to get rid of, but I don't know how. Can you help me? Give exactly two different responses, separating them with 6 asterisk symbols (******). Your answer must contain a title, wrapped in double angular brackets, such as <<my title>>. Include the keywords ""adoption"" and ""carriage"" somewhere in your response.","['combination:two_responses', 'detectable_format:title', 'keywords:existence']","[{}, {}, {'keywords': ['adoption', 'carriage']}]",ifeval,
322,"Please give me some recommendations for good books about the history of the United States. Your response should be completely in Kannada, no other language is allowed.",['language:response_language'],[{'language': 'kn'}],ifeval,
323,"Write a cover letter for a job in Ventura that is funny and would be enjoyed by someone named Darius, wrap the entire response in double quotation marks.",['startend:quotation'],[{}],ifeval,
324,"Write a haiku about foolish behavior in the form of a question, for an audience of young readers. It should include the topic of not studying. Give exactly two different responses, separated by 6 asterisk symbols (******), and include a title wrapped in double angular brackets, i.e. <<title>>. Do not use commas.","['combination:two_responses', 'detectable_format:title', 'punctuation:no_comma']","[{}, {}, {}]",ifeval,
325,"We are a company that sells a product that makes it easy to find and book a hotel room. We are looking for a print ad that will be placed in a magazine that is aimed at people who travel a lot. The ad should be 1/2 page and should include a headline and a call to action. Please do not use any commas in your response.

Before saying anything or giving your answer, please repeat the exact entire request above.","['combination:repeat_prompt', 'punctuation:no_comma']","[{'prompt_to_repeat': 'We are a company that sells a product that makes it easy to find and book a hotel room. We are looking for a print ad that will be placed in a magazine that is aimed at people who travel a lot. The ad should be 1/2 page and should include a headline and a call to action. Please do not use any commas in your response.'}, {}]",ifeval,
326,"Write a cover letter for a job in a tech company. Make sure to use the word ""the"" once or less.",['keywords:frequency'],"[{'relation': 'less than', 'keyword': 'the', 'frequency': 2}]",ifeval,
327,"Write a document entirely in the Portuguese language, no other language is allowed, about Adam and Eve. Additionally, make sure to wrap your entire response with double quotation marks.","['language:response_language', 'startend:quotation']","[{'language': 'pt'}, {}]",ifeval,
328,Write a song about the benefits of eating your vegetables. Please make sure it is in English and that all of the letters are lowercase.,['change_case:english_lowercase'],[{}],ifeval,
329,"Write a rant about how an asteroid killed the dinosaurs in all capital letters and in English. End the rant with the phrase ""What would happen to human next?"" and no other words should follow this phrase.","['change_case:english_capital', 'startend:end_checker']","[{}, {'end_phrase': 'What would happen to human next?'}]",ifeval,
330,"Write a limerick about the word ""limerick"". Make sure it is funny and includes the words ""limerick"" and ""funny"". Do not use any commas.
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)","['combination:repeat_prompt', 'punctuation:no_comma']","[{'prompt_to_repeat': 'Write a limerick about the word ""limerick"". Make sure it is funny and includes the words ""limerick"" and ""funny"". Do not use any commas.'}, {}]",ifeval,
331,"Write a blog post about the benefits of using a digital marketing agency, make sure to write at least 20 sentences.",['length_constraints:number_sentences'],"[{'relation': 'at least', 'num_sentences': 20}]",ifeval,
332,Write a description for the Pixel 3A smartphone with at least 400 words. Wrap your entire response with double quotation marks.,"['length_constraints:number_words', 'startend:quotation']","[{'relation': 'at least', 'num_words': 400}, {}]",ifeval,
333,"The opposite of youth is not age, but ...? Highlight at least 2 sections in your answer with markdown, i.e. *highlighted section*.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 2}],ifeval,
334,Write a description of the following data in a weird style: The Golden Palace eatType restaurant; The Golden Palace food Indian; The Golden Palace area city centre. Use markdown to highlight at least 3 sections in your answer.,['detectable_format:number_highlighted_sections'],[{'num_highlights': 3}],ifeval,
335,"Write a proposal for a research project on the impact of the liberian civil war on the country's economy. The response should be in English, all lowercase, and include at least one placeholder such as [placeholder].","['change_case:english_lowercase', 'detectable_content:number_placeholders']","[{}, {'num_placeholders': 1}]",ifeval,
336,Write a template that I can use to ask my manager about the budgets for the next quarter. The template should include the letter q at least 5 times.,['keywords:letter_frequency'],"[{'let_relation': 'at least', 'letter': 'q', 'let_frequency': 5}]",ifeval,
337,"Make a list of ways to say the following sentence more professionally: ""Hey bautista, let me know if you need any help with the graphs."" Also, make sure the letter q appears less than 5 times in your response.",['keywords:letter_frequency'],"[{'let_relation': 'less than', 'letter': 'q', 'let_frequency': 5}]",ifeval,
338,Can you provide me with the timetable for the next train to London? Please respond in less than 6 sentences.,['length_constraints:number_sentences'],"[{'relation': 'less than', 'num_sentences': 6}]",ifeval,
339,What is inside Shinto shrines? Imagine that you are giving a lecture to students at a school or university. Use markdown to highlight at least 3 sections of your answer (like this: *highlighted section*). Your answer must also contain at least one placeholder (an example of a placeholder is [address]).,"['detectable_format:number_highlighted_sections', 'detectable_content:number_placeholders']","[{'num_highlights': 3}, {'num_placeholders': 3}]",ifeval,
340,What are the steps to get the GNSS timestamp on Android? Explain this to teenagers using at least 4 sentences and make sure the letter n appears at least 3 times.,"['keywords:letter_frequency', 'length_constraints:number_sentences']","[{'let_relation': 'at least', 'letter': 'n', 'let_frequency': 3}, {'relation': 'at least', 'num_sentences': 4}]",ifeval,
341,"write a haiku about ireland in the style of basho. include a title wrapped in double angular brackets, i.e. <<title>>. your entire response should be in lowercase english and contain the letter g at least 8 times.","['change_case:english_lowercase', 'keywords:letter_frequency', 'detectable_format:title']","[{}, {'let_relation': 'at least', 'letter': 'g', 'let_frequency': 8}, {}]",ifeval,
342,"Write a funny rap about a man who gets a call from an official saying that he is a long lost relative of the king of Nigeria. Use markdown to highlight at least one section of your answer, i.e. *highlighted section*.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 1}],ifeval,
343,Write a list of the top 10 facts about the UK without using commas.,['punctuation:no_comma'],[{}],ifeval,
344,"Rewrite the following blog as a list of exactly 4 bullet points: ""The world is a beautiful place. The sun is shining, the birds are singing, and the flowers are blooming. It's a perfect day to go outside and enjoy all that nature has to offer."" The bullet points should be in markdown such as:
* Bullet point 1
* Bullet point 2",['detectable_format:number_bullet_lists'],[{'num_bullets': 4}],ifeval,
345,"Write a weird ad for a copyright infringement lawyer who represents witches. Use only lowercase letters. Your answer must contain a title, wrapped in double angular brackets, i.e. <<title>>.",['detectable_format:title'],[{}],ifeval,
346,Write a joke about xml with a setup and a punchline. Wrap your entire response in double quotation marks.,['startend:quotation'],[{}],ifeval,
347,"Can you write a rap that doesn't include the keywords ""Yo"", ""check"", and ""peace""?",['keywords:forbidden_words'],"[{'forbidden_words': ['yo', 'peace', 'check']}]",ifeval,
348,"Write a startup pitch for ""Ward and Guerre"". Make it a weird poem that explains why the pitch is good. It should be in English and have no capital letters.",['change_case:english_lowercase'],[{}],ifeval,
349,Write a serious riddle about trips and stitches in a poem style that includes at least 15 words in all capital letters.,['change_case:capital_word_frequency'],"[{'capital_relation': 'at least', 'capital_frequency': 15}]",ifeval,
350,How can you get to know someone on a deep level in a romantic relationship? The answer should involve the topic of vulnerability. Do not use any commas in your response.,['punctuation:no_comma'],[{}],ifeval,
351,Write a parody of 'ars poetica'. Do not include the word 'parody' throughout your response.,['keywords:forbidden_words'],[{'forbidden_words': ['parody']}],ifeval,
352,Why did the man travel from Saskatoon to Helsinki to buy a piano? Wrap your entire response in double quotes.,['startend:quotation'],[{}],ifeval,
353,Imagine you're a 19 year old and you're making a video game. The game is about a boy who has to save the world from a villain. Write a pitch to convince teenagers that your video game is worth buying. Your answer must include exactly one bullet point in markdown format.,['detectable_format:number_bullet_lists'],[{'num_bullets': 1}],ifeval,
354,"For a bunch of students, write a 200+ word poem that professionally describes a new line of shoes. Make sure to use markdown to highlight/bold at least one section of the poem. Example: *highlighted text*","['detectable_format:number_highlighted_sections', 'length_constraints:number_words']","[{'num_highlights': 1}, {'relation': 'at least', 'num_words': 200}]",ifeval,
355,"Write a limerick about a guy from Nantucket, use notations to express it, and use at least 2 words with all capital letters.",['change_case:capital_word_frequency'],"[{'capital_relation': 'at least', 'capital_frequency': 2}]",ifeval,
356,"Write a poem about flooding in Donnell, TX. The poem should have a title in double angular brackets, i.e. <<title>>, and contains at least 3 words in all capital letters.","['change_case:capital_word_frequency', 'detectable_format:title']","[{'capital_relation': 'at least', 'capital_frequency': 3}, {}]",ifeval,
357,Write a rubric for performance review of a software engineer and wrap the entire output in JSON format. You can use markdown ticks such as ```.,['detectable_format:json_format'],[{}],ifeval,
358,"Kindly summarize the text below in XML format. Make sure the summary contains less than 4 sentences.

Quantum entanglement is the phenomenon that occurs when a group of particles are generated, interact, or share spatial proximity in such a way that the quantum state of each particle of the group cannot be described independently of the state of the others, including when the particles are separated by a large distance. The topic of quantum entanglement is at the heart of the disparity between classical and quantum physics: entanglement is a primary feature of quantum mechanics not present in classical mechanics.

Measurements of physical properties such as position, momentum, spin, and polarization performed on entangled particles can, in some cases, be found to be perfectly correlated. For example, if a pair of entangled particles is generated such that their total spin is known to be zero, and one particle is found to have clockwise spin on a first axis, then the spin of the other particle, measured on the same axis, is found to be anticlockwise. However, this behavior gives rise to seemingly paradoxical effects: any measurement of a particle's properties results in an apparent and irreversible wave function collapse of that particle and changes the original quantum state. With entangled particles, such measurements affect the entangled system as a whole.

Such phenomena were the subject of a 1935 paper by Albert Einstein, Boris Podolsky, and Nathan Rosen, and several papers by Erwin Schrödinger shortly thereafter, describing what came to be known as the EPR paradox. Einstein and others considered such behavior impossible, as it violated the local realism view of causality (Einstein referring to it as ""spooky action at a distance"") and argued that the accepted formulation of quantum mechanics must therefore be incomplete.

",['length_constraints:number_sentences'],"[{'relation': 'less than', 'num_sentences': 4}]",ifeval,
359,"The hull of a ship is severely damaged in a storm. The ship has craters and some of its outer shell has been peeled off. How can I repair the hull? Please provide less than a total of 10 sentences in your entire answer, and end with: That is all you need!","['startend:end_checker', 'length_constraints:number_sentences']","[{'end_phrase': 'That is all you need!'}, {'relation': 'less than', 'num_sentences': 10}]",ifeval,
360,"Write a rubric for teenagers on how to review a book. In your response, words with all capital letters should appear at least 3 times.",['change_case:capital_word_frequency'],"[{'capital_relation': 'at least', 'capital_frequency': 3}]",ifeval,
361,Write a poem about the history of reductions in the context of the church. Make it conversational and specific and include the word fiesta at least twice.,['keywords:frequency'],"[{'relation': 'at least', 'keyword': 'fiesta', 'frequency': 2}]",ifeval,
362,"Is ballistics (the study of the motion of projectiles) an actual science?
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)",['combination:repeat_prompt'],[{'prompt_to_repeat': 'Is ballistics (the study of the motion of projectiles) an actual science?'}],ifeval,
363,"What's different between ""the set of all sets that are not members of themselves"" and ""the set of all sets""? Use mathematical notations in your answer. Be chatty while explaining. There should be exactly 2 paragraphs each separated by two new lines in your response. Paragraph 1 must start with the word booster.",['length_constraints:nth_paragraph_first_word'],"[{'first_word': 'booster', 'num_paragraphs': 2, 'nth_paragraph': 1}]",ifeval,
364,"Write a brief about limping in ASEAN countries. Your answer must contain a title, wrapped in double angular brackets, such as <<title of the brief>>. Make sure the letter m appears at least 5 times.","['detectable_format:title', 'keywords:letter_frequency']","[{}, {'let_relation': 'at least', 'letter': 'm', 'let_frequency': 5}]",ifeval,
365,"We're attempting to contact Stephane to get a reversal from him, but he is not responding to us. Could you write this in a way that would seem more polite to moms? Please use the key ""polite"" to put your answer. Wrap your entire response with double quotation marks, and include two sections: ""SECTION 1"" and ""SECTION 2"".","['startend:quotation', 'detectable_format:multiple_sections']","[{}, {'section_spliter': 'SECTION', 'num_sections': 2}]",ifeval,
366,"Write a 500 word story in a poem style about a young girl who is obsessed with her Nintendo DS.

First repeat the request above, then give your answer. Just repeat word for word without change. Do not say any words or characters before repeating the request.",['combination:repeat_prompt'],[{'prompt_to_repeat': 'Write a 500 word story in a poem style about a young girl who is obsessed with her Nintendo DS.'}],ifeval,
367,"Expand the riddle into a story with a funny tone:

What can you catch but not throw?
A cold

Use * to highlight at least 2 sections in your text. For example: *this is a highlighted text section*.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 2}],ifeval,
368,"What are the components that make a successful person? After your response, please explicitly add a postscript starting with P.P.S Your entire response should be in English and in all capital letters.","['detectable_content:postscript', 'change_case:english_capital']","[{'postscript_marker': 'P.P.S'}, {}]",ifeval,
369,"Could you elaborate on the sentence ""A gymnast is in the air, performing a stunt.""? Please highlight at least 6 sections in your answer with markdown, i.e. *highlighted section*. Please write at least 300 words.","['detectable_format:number_highlighted_sections', 'length_constraints:number_words']","[{'num_highlights': 6}, {'relation': 'at least', 'num_words': 300}]",ifeval,
370,"Create a dialogue between two people who are both trying to avoid using the letter t. But somehow they ended up using a lot of t in their dialogue. Break the dialogue into two scenes, separated by 6 asterisk symbols: ******. The letter t must appear at least 30 times in the dialogue you write.","['combination:two_responses', 'keywords:letter_frequency']","[{}, {'let_relation': 'at least', 'letter': 't', 'let_frequency': 30}]",ifeval,
371,"Write a rubric for rating how good a teenager's essay is. Give your final summary, following 6 asterisk symbols (******).",['combination:two_responses'],[{}],ifeval,
372,Write a long and funny email to your friend about the ingredients of a good life that contains at least 20 sentences.,['length_constraints:number_sentences'],"[{'relation': 'at least', 'num_sentences': 20}]",ifeval,
